padron;valuacion;boleta
4775701;212785.338;9395223
4775703;212675.62;9395225
4775704;212600.46;9395226
4775705;212605.46;9395227
4775706;212631.81;9395228
4775708;212637.16;9395230
4775709;212637.16;9395231
679581;188740.49;9395232
4775710;212112.06002;9395233
4775711;213013.02;9395234
4676109;155168.13;9395235
4775712;218844.35;9395236
677921;156130.75;9395237
536662;135400.0;9395241
879755;94770.82;9395242
4675161;160117.63;9395243
4675173;28911.7;9395244
4775714;223749.18;9395245
4775715;212910.91;9395246
4775716;212910.91;9395247
4775717;212602.32;9395248
4775718;212602.32;9395249
4775719;212602.322;9395250
4775720;212600.83;9395251
4775721;212608.29;9395252
4775722;212605.72;9395253
4775723;212600.583;9395254
4775724;212604.31;9395255
4775725;212658.62;9395256
4775726;212658.62;9395257
4775727;212602.54;9395258
4775728;212840.97;9395259
4775729;212616.17;9395260
4775730;212658.63;9395261
4775731;212658.63;9395262
4775732;212610.23;9395263
4775733;212601.86;9395264
4775128;121927.7201;9395266
4775129;129779.96;9395268
4775130;112487.855;9395269
4775131;113859.443;9395270
4775132;347546.23;9395271
4775133;350784.09;9395272
4775134;353354.56;9395273
4775135;360624.9;9395274
4775136;361526.69;9395275
4775735;212602.34;9395276
4775137;362548.22;9395277
4775736;212609.34;9395278
4775138;123788.78;9395279
4775737;212601.67;9395280
4775139;123774.31;9395281
4775140;362548.22;9395282
4775738;212601.67;9395283
4775141;362548.22;9395284
4775739;212601.67;9395285
4775142;362548.22;9395286
4775741;220412.92;9395287
4775143;362548.22;9395288
4775742;212734.68;9395289
4775144;361526.73;9395290
4775743;212606.05;9395291
4775145;362548.22;9395292
4775146;362548.22;9395293
4679946;220606.93;9395294
4775744;212605.0;9395295
4775745;212604.0;9395296
4775746;212712.62;9395297
4775747;212668.34;9395298
4775748;212601.26;9395299
4775749;212723.56;9395300
4775750;212603.3;9395301
4775751;212603.3;9395302
4775752;218440.9;9395303
4775753;215686.41;9395304
4775754;218441.71;9395305
4775755;212603.82;9395306
4775756;212603.82;9395307
4775757;212610.13;9395308
4775758;212774.73;9395309
4775759;212989.43;9395310
4775760;212612.25;9395311
4775761;212603.82;9395312
4775762;212603.82;9395313
4775763;212603.82;9395314
4775764;222662.25;9395315
4775765;207621.67;9395316
483648;18037.96;9395317
4775766;213084.011;9395318
4775768;213041.26;9395319
4775769;213039.38;9395320
4775771;215421.36;9395321
4775772;214774.56;9395322
4775773;213886.33;9395323
4775775;213934.58;9395325
4775776;213290.54;9395326
4775777;212015.18;9395327
4775778;213443.82;9395328
4775779;213162.97;9395329
4775780;213614.15;9395330
4775781;212642.35;9395331
4775782;212668.18;9395332
4775783;213233.47;9395333
4775784;213127.58;9395334
4775785;212750.16;9395335
4775786;212716.74;9395336
4775787;212648.86;9395337
4775789;213136.35;9395339
4775790;212650.91;9395340
4775791;213149.5;9395341
4775792;1486957.6;9395342
4775616;212639.78;9395343
4775623;229114.54;9395344
4775663;213877.97;9395345
4775690;212680.4;9395346
4775698;212737.98;9395347
4775740;213166.22;9395348
4775767;213252.14;9395349
4679943;224721.78;9395350
4679945;233665.05;9395351
4679949;207067.85;9395352
4679950;202274.5;9395353
4679951;210480.3;9395354
4679952;209202.17;9395355
4679953;204128.06;9395356
4679954;200758.87;9395357
4679955;193306.35;9395358
4775147;362548.22;9395359
4775148;361526.73;9395360
4775149;361526.73;9395361
4775150;362548.22;9395362
4775151;119255.62;9395363
4775152;123774.31;9395364
4775153;362548.22;9395365
4775154;362548.22;9395366
4775155;361526.72;9395367
4775156;362548.22;9395368
4775157;362548.22;9395369
4775158;362548.22;9395370
