padron,bajado,terreno,mejoras,ph,total,valuacion
678002,true,159316.33,804912.65,0.0,964228.98,518402.67
678006,true,189383.99,0.0,0.0,189383.99,101819.351
678007,true,181260.6,0.0,0.0,181260.6,97451.92
678009,true,215297.61,678969.86,0.0,894267.47,480788.97
678010,true,215297.63,386517.14,0.0,601814.77,335037.91
678011,true,215297.68,585133.12,0.0,800430.8,430339.13
678012,true,62524.66,584257.35,0.0,646782.01,347732.26
678015,true,213279.31,585047.5,0.0,798326.81,429207.95
678048,true,80416.81,0.0,0.0,80416.81,43234.83
678051,true,169956.71,563999.49,0.0,733956.21,394600.11
678052,true,338980.83,529879.92,0.0,868860.75,467129.41
678055,true,230206.13,440343.82,0.0,670549.95,360510.72
678056,true,274818.1,1298418.68,0.0,1573236.77,845826.21
678057,true,247632.23,0.0,0.0,247632.23,133135.59
678058,true,102774.46,108901.13,0.0,211675.59,113804.07
678059,true,658074.14,1325653.84,0.0,1983727.99,1066520.4
678060,true,0.0,0.0,0.0,0.0,
678063,true,151953.8,292864.9,0.0,444818.7,239149.84
678065,true,317347.27,437283.24,0.0,754630.51,405715.31
678066,true,338876.9,629228.14,0.0,968105.04,520486.58
678069,true,164034.69,400593.64,0.0,564628.33,303563.6
678070,true,0.0,0.0,125312.88,125312.88,67372.51
678071,true,0.0,0.0,177008.92,177008.92,95166.09
678072,true,0.0,0.0,134353.47,134353.47,72233.04
678073,true,0.0,0.0,134203.36,134203.36,72152.34
678074,true,555079.19,162236.37,0.0,717315.56,385653.52
678078,true,0.0,0.0,82552.78,82552.78,44383.2
678080,true,114642.87,291854.04,0.0,406496.91,218546.71
678082,true,201374.97,529719.05,0.0,731094.02,393061.28
678085,true,164225.22,518260.35,0.0,682485.57,366927.71
678086,true,124150.16,560035.31,0.0,684185.47,367841.64
678088,true,152616.11,390145.71,0.0,542761.82,73597.88
678089,true,133704.09,441341.72,0.0,575045.82,309164.4
678090,true,136599.79,490179.3,0.0,626779.09,336978.0
678094,true,114800.07,201871.52,0.0,316671.59,150009.53
678095,true,61392.95,261919.26,0.0,323312.21,77140.75
678097,true,81757.79,553928.08,0.0,635685.87,40951.89
678098,true,333000.78,531714.41,0.0,864715.19,464900.62
678099,true,435375.02,2775564.66,0.0,3210939.67,1726311.65
678101,true,209267.06,481008.44,0.0,690275.49,371115.85
678102,true,119130.14,301868.76,0.0,420998.89,226343.49
678103,true,729632.32,334622.35,0.0,1064254.67,572179.92793
678104,true,83272.7,48271.56,0.0,131544.26,70722.71
678105,true,85089.45,91153.8,0.0,176243.25,94754.43
678106,true,86114.18,6107.54,0.0,92221.72,49581.577
678107,true,87178.18,0.0,0.0,87178.18,46869.98
678108,true,88286.8,0.0,0.0,88286.8,47466.02
678109,true,89295.82,109670.08,0.0,198965.9,106970.91
678110,true,90468.33,0.0,0.0,90468.33,48638.88
678112,true,82745.94,104024.89,0.0,186770.83,100414.41
678114,true,79884.12,302884.04,0.0,382768.16,205789.33
678115,true,80278.66,397986.45,0.0,478265.12,257131.77
678116,true,144229.53,390075.46,0.0,534304.99,287260.74
678117,true,104221.9,261964.81,0.0,366186.71,196874.56
678118,true,166512.09,708207.12,0.0,874719.2,470279.1226
678121,true,0.0,0.0,120229.92,120229.92,64639.73
678122,true,0.0,0.0,120229.92,120229.92,64639.73
678123,true,0.0,0.0,120229.92,120229.92,64639.73
678124,true,0.0,0.0,120229.92,120229.92,64639.73
678125,true,0.0,0.0,120229.72,120229.72,64639.64
678126,true,0.0,0.0,120229.72,120229.72,64639.64
678127,true,67924.24,486509.44,0.0,554433.68,267414.93
678129,true,549226.01,632376.27,0.0,1181602.27,624923.27
678132,true,266861.89,543494.4,0.0,810356.3,435675.43
678133,true,327578.37,778989.81,0.0,1106568.18,594929.11
678134,true,84973.78,70238.48,0.0,155212.25,83447.44
678135,true,38443.62,12491.9,0.0,50935.52,27384.68
678136,true,792873.61,753315.86,0.0,1546189.47,831284.65
678137,true,153188.55,354602.85,0.0,507791.41,273006.12
678138,true,152443.17,383689.61,0.0,536132.79,288243.43
678139,true,226835.23,380159.31,0.0,606994.54,326341.14
678141,true,225633.43,381022.52,0.0,606655.95,326159.11
678143,true,126065.44,406346.64,0.0,532412.08,286243.04
678144,true,114026.91,645617.49,0.0,759644.4,408410.97
678150,true,128184.08,0.0,0.0,128184.08,68916.16
678151,true,132978.22,369904.96,0.0,502883.17,270367.29
678153,true,455962.53,217013.7,0.0,672976.23,361815.16
678155,true,108540.49,260805.32,0.0,369345.8,198573.0
678156,true,140849.85,759351.13,0.0,900200.98,483979.02
678160,true,0.0,0.0,143280.1,143280.1,77032.31
678161,true,53729.56,0.0,0.0,53729.56,28886.86
678162,true,60246.06,0.0,0.0,60246.06,32390.4
678163,true,328999.9,671075.08,0.0,1000074.98,537674.72
678164,true,198950.32,735425.66,0.0,934375.98,502352.67
678168,true,154633.28,0.0,0.0,154633.28,83136.17
678169,true,185956.21,108692.13,0.0,294648.34,158413.07
678170,true,50028.49,0.0,0.0,50028.49,26897.04
678171,true,44434.59,0.0,0.0,44434.59,23889.55
678172,true,58736.64,0.0,0.0,58736.64,31578.84
678173,true,67144.98,0.0,0.0,67144.98,25957.6
678258,true,58536.51,300038.33,0.0,358574.84,192782.17
678259,true,57304.16,261541.32,0.0,318845.48,171422.3
678260,true,66171.98,182291.74,0.0,248463.72,133582.64
