padron;valuacion_total;valuacion
4676156;267005.38;15106.25
4676157;374532.6;15106.25
4676161;360215.38;15106.25
4676162;288935.93;15106.25
4676163;447068.65;15106.255
4676174;469225.78;15106.25
4676177;304054.49;15106.25
4676178;361920.99;15106.25
4676179;316140.19;15106.25
4676182;287941.67;15097.51
4676183;248289.68;15106.25
4676184;156861.89;15106.25
4676185;255605.66;15106.25
4676190;243316.31;15106.2542
4676191;212404.57;15106.25973
4676192;395917.47;15106.25
4676193;156861.89;15106.25
4676194;416872.06;15106.25
4676195;240604.54;15106.25
4676207;298011.65;15106.25
4676208;354926.48;16466.0
4676211;284918.79;15106.25
4676212;231540.28;15106.25
4676214;353422.11;15106.25
4676217;358259.99;15106.25
4676620;18468082.36;167387.61
4676715;4739491.58;109511.53
4676765;801171.26;65900.0
4676766;5780256.56;401200.0
4676809;477306.09;33626.53
4677015;352882.12;18330.76
4677059;687793.07;56500.0
4677060;1968828.96;66249.95
4677437;161326.95;14984.0
4677602;601386.08;56400.0
4677880;8282249.21;505100.0
4677884;392533.83;27244.04
4677885;184827.59;18100.0
4677902;5485002.59;16100.0
4677937;634442.28;21700.0
4677939;629966.35;62864.65
4677963;453617.36;21600.0
4678093;541633.0;15800.0
4678108;617741.63;45100.0
4678141;333229.37;22400.0
4678314;1778148.26;50700.0
4678587;1994817.14;56900.0
4678597;412862.14;34204.35
4678598;466232.61;34159.95
4679427;295882.05;8.0
4679553;263403.34;9108.0
4679874;191178.94;14400.0
480372;114016.08;1900.0
480689;84474.6;7900.0
480743;196400.86;1.0
480749;582225.65;25123.71
480835;196654.15;11100.0
481298;330627.51;21812.16
481599;232429.52;7700.0
481746;1217060.9;71315.14
481813;1088459.61;2500.0
481832;856048.17;52096.785
481966;470616.03;28823.06
482034;359119.09;14000.0
482133;26503.69;1.0
482243;107141.14;6300.0
482543;83211.67;1800.0
482544;162667.35;11400.0
482683;876485.81;38007.835
482751;585799.48;24200.0
483202;560107.2;29000.0
483434;217467.46;2800.0
483631;533463.45;17601.2709
483802;48157.08;600.0
483913;11626.23;700.0
484231;16938.83;1.0
484654;557573.11;18485.84
484717;197423.99;16779.32
484775;258228.62;23973.21
48478;28946.93;1800.0
484883;233564.07;2900.0
484922;145344.91;4100.0
484923;453493.11;28000.005
531772;149370.48;13700.005
532768;34988.69;2400.0
532770;42088.41;1600.0
532869;245054.74;8700.0
533468;379914.03;16500.0
533817;211337.97;13000.0
534658;37384.03;2300.0
534659;37384.03;2300.0
534667;307728.74;8700.0
534681;752933.77;4100.0
534682;138372.01;3800.0
534695;32376.17;3200.007
534696;32376.14;1800.0
534697;32376.17;2300.0
534698;295983.34;14200.0
534701;88864.4;5400.0
534702;35176.09;2100.0
534718;332705.73;19500.0
535011;460853.62;30000.0
535097;289222.73;13400.0
535113;459122.58;33300.0
535116;953302.41;41600.0
535118;544535.33;7000.005
535124;585196.9;52100.0
535129;224480.66;7300.0
535130;221879.68;7300.0
536049;184648.7;17600.00753
536764;118588.14;2500.0
536955;256582.23;16600.0
536956;268760.11;17200.00228
536957;333355.87;1900.0
536971;96073.87;7400.0
536972;95777.15;6800.0
537477;1116840.96;39600.0
537478;36492.27;3400.0
537479;385376.1;16100.0
537480;318128.81;14800.0
537481;528364.01;13700.0
538524;422392.47;26100.0
538830;59393.43;3100.0
538831;41837.24;2300.0
538832;41837.24;2300.0
538833;41837.24;2300.0
538834;41837.24;2300.0
538835;41837.24;2300.0
538836;41837.24;2300.0
538837;41837.24;2300.0
538838;41837.24;2300.0
538839;41837.24;2300.0
538840;41837.24;2300.0
538841;41837.24;2300.0
538843;41837.24;2300.0
538844;41837.24;2300.0
538845;41837.24;2300.0
538846;41837.24;2300.0007
580267;512288.28;32500.0
580268;292302.45;6800.0
580816;296712.74;28979.35
580822;587392.09;29265.427
580828;730467.28;34010.295
580868;439839.91;33318.25
580902;387404.59;36093.22
580928;647422.57;37300.37
580930;457752.98;38003.61
581005;426234.74;35983.74
581247;233892.45;19500.0
581483;235105.06;2500.0
581552;537570.63;30249.54
581746;1765593.88;15000.0
581782;163980.19;2600.0
582021;361966.21;18440.27
582115;34122.29;3100.0
582119;125496.89;9400.0
582120;191126.71;9400.0
582199;89841.07;2500.0
582250;489483.89;42000.0
582500;164052.02;3200.0
582501;178488.87;3400.0
582512;214712.9;900.0
583036;317149.94;22146.81
583169;109887.3;1.0
583415;391777.87;12742.288
632238;217272.88;21513.93
671871;41009.27;1100.0
672202;82380.51;6500.0
673369;1156436.51;1.0
675000;61400.26;2100.0
675001;77476.49;1900.0
675002;133447.84;2000.0
675003;67915.63;2000.0
675004;89901.46;1800.0
675010;85923.18;300.0
675011;137009.43;1800.0
675012;94193.92;2500.0
675038;802234.99;25300.005
675132;782590.04;64335.82
675287;826498.31;12650.4
675292;133724.07;12650.4
675340;1260789.72;58575.41
675570;93944.87;1700.0
675611;291310.38;4700.0
675967;1277179.95;24800.0
675968;13380168.29;224900.0
676090;330916.96;30377.96
676208;1938986.45;146700.0
676288;29891.8;2700.0
676289;144373.15;7500.0
676291;31783.46;2700.0007
676293;30303.32;2700.0
676297;349120.4;17900.0
676303;29891.8;1500.0
676304;38325.95;2700.0
676307;72012.53;3200.0
676308;29921.66;2700.0
676311;44949.71;2400.0
676312;50469.81;3600.0
676333;59604.32;5200.0
676334;123717.84;5800.0
676339;124237.26;9600.008
676340;58692.62;3300.0
676527;1220439.03;59200.0
676648;309820.62;20116.69
676711;276140.85;20133.46
676713;238876.61;16763.9
676714;498925.23;37773.52
676715;433068.45;16763.9
676799;329622.78;19278.47
676816;267980.2;18440.27
676820;101159.38;1800.0
676862;329095.32;20133.46
677133;657769.46;28062.78
677142;287283.69;4400.0
677237;453029.82;28628.57
677248;382334.06;31809.54
677257;382740.17;33130.42
677258;427655.93;33130.42
677264;404622.95;32587.34
677273;458613.12;28628.57
677331;342347.26;33500.0
677352;360172.25;13700.0
677476;330742.26;8500.0
677558;446340.11;15200.0
677604;106603.94;2900.0
677605;176755.42;4900.0
677606;73375.65;600.0
677608;20267.52;600.005
677609;19657.49;400.0
677615;229350.89;1000.0
677645;196998.26;11300.0
677974;5046174.09;150600.0
677975;1219379.81;27500.0
678062;313804.92;10200.0
678067;184414.23;4800.005
678097;635685.87;40951.8914
678154;749770.05;29200.0
678158;184501.73;9900.005
678254;440407.39;31231.12
678306;1004192.0;58830.42
678343;533281.92;32084.82
678619;1175438.5;84300.0
678621;592356.25;27800.0
678622;194656.87;14700.0
678623;807891.02;2300.0
678629;342021.51;16400.0
678630;773722.95;37700.0
678636;436209.21;26700.0
678638;546732.95;29500.0
678652;806634.86;57500.0
678697;163042.07;13000.0
678795;2269959.34;140330.17
679046;443529.1;27220.07
679200;538436.45;47932.98
679499;170878.26;8400.005
679500;104455.36;4600.0
679501;111307.1;6400.0
679503;90023.48;4500.0
679505;88248.02;3200.0
679514;389491.16;30500.0
679517;230999.39;4800.0
679528;484242.01;6800.0
679533;83113.54;6800.0
679534;638172.62;6800.001899
679542;659435.97;6800.0
679561;343340.39;6800.0
679569;298143.63;6500.0
679590;83095.85;6800.0
679646;1570632.96;50639.96
679737;1151884.73;89816.0807
770000;108184.32;5200.0
77007;152933.37;10100.0
775682;335909.78;7300.0
775897;545915.49;11253.38
77665;186153.2;7300.0
776920;880924.64;78495.29
777097;720809.33;64132.69
777104;764235.12;71377.92
777106;814966.06;68450.77
777119;895594.81;70008.73
77714;232832.1;5800.0
777149;1324436.1;42773.38
777155;1195739.84;43440.57
777159;1419275.46;44085.27
777169;596668.23;44732.25
777172;706453.43;60765.1
777183;553138.42;44066.22
777194;948635.9;62625.57
777207;696416.22;61692.221712
777208;660061.93;61692.22
777384;154407.69;7000.0
777746;527091.24;37655.09
778122;804087.11;59100.72
77824;22615.27;800.0
778617;2109855.94;140716.82
778994;413080.26;28842.29
779156;1922208.48;177052.043
779371;892196.78;7500.0
779374;162223.56;6500.0
779393;915285.76;19100.005
779395;1502733.05;19000.0
779397;2374515.38;16500.0
